optimiser,main_m,main_p,main_t,main_aoa,flap1_m,flap1_p,flap1_t,flap1_aoa,flap2_m,flap2_p,flap2_t,flap2_aoa,gap1,gap2,overlap1,overlap2,C_L,C_D,efficiency,score
CMA-ES,0.069012,0.246207,0.152456,2.190779,0.062339,0.338258,0.133052,24.492629,0.082945,0.501054,0.12549,41.302378,0.017149,0.010262,0.021027,0.016302,3.354407,0.117306,28.595452,2.885184
CMA-ES,0.059669,0.200743,0.15039,2.096082,0.070504,0.42093,0.136716,22.652408,0.07478,0.305768,0.124056,41.363463,0.015163,0.013473,0.023551,0.006374,3.239789,0.113473,28.551298,2.785899
CMA-ES,0.062343,0.428447,0.156849,1.780429,0.082651,0.372042,0.127637,23.948808,0.075619,0.491253,0.124308,43.448707,0.017594,0.010594,0.022289,0.0131,3.370868,0.120166,28.051664,2.890203
CMA-ES,0.066728,0.206723,0.151543,1.461602,0.067617,0.327076,0.12915,24.02269,0.075603,0.474923,0.126278,43.412143,0.015628,0.009693,0.01241,0.013031,3.356212,0.112712,29.776948,2.905365
CMA-ES,0.071618,0.258821,0.151027,0.640834,0.066459,0.310182,0.131691,24.57211,0.081754,0.463479,0.124008,43.456292,0.015364,0.009451,-0.008763,0.016149,3.283089,0.117035,28.05227,2.81495
CMA-ES,0.068871,0.231629,0.151598,2.055137,0.064553,0.420487,0.132444,23.873439,0.083793,0.488412,0.127079,43.291924,0.016066,0.012154,0.022397,0.012658,3.369673,0.120906,27.870218,2.88605
CMA-ES,0.067874,0.48137,0.155468,2.142595,0.071883,0.401769,0.132311,24.364626,0.085122,0.504627,0.126933,40.96729,0.017989,0.011699,0.015709,0.00717,3.304767,0.123268,26.809551,2.811694
CMA-ES,0.071783,0.326129,0.151234,0.710942,0.085336,0.379087,0.136868,24.552647,0.087533,0.503974,0.123938,37.818964,0.016798,0.010729,0.022723,0.011236,3.188374,0.103544,30.792455,2.774198
CMA-ES,0.072507,0.341649,0.149926,1.99939,0.064228,0.300116,0.130838,21.818592,0.074987,0.493084,0.125456,43.40652,0.016238,0.008879,0.019158,0.02054,3.302977,0.113482,29.105651,2.849047
CMA-ES,0.069129,0.256131,0.148635,0.714751,0.064243,0.324477,0.137613,24.14662,0.072884,0.383483,0.123208,43.277744,0.015677,0.010196,0.022833,0.014988,3.319782,0.104156,31.873266,2.90316
CMA-ES,0.070073,0.271464,0.153622,0.391007,0.06871,0.385942,0.131987,23.965793,0.083053,0.419276,0.126055,36.71316,0.015415,0.011798,0.023416,-0.004763,3.001735,0.093641,32.055937,2.627173
CMA-ES,0.066579,0.204551,0.149208,0.5751,0.064859,0.358806,0.133654,23.112158,0.084892,0.480735,0.124856,43.194699,0.016304,0.010543,0.010151,0.015125,3.267386,0.105406,30.998119,2.845762
CMA-ES,0.067328,0.234614,0.15101,2.856025,0.066399,0.347597,0.132281,24.989671,0.083064,0.41064,0.124642,39.614918,0.015985,0.010833,0.011767,0.010371,3.3336,0.123537,26.984593,2.839451
CMA-ES,0.067438,0.227906,0.153041,2.775916,0.06969,0.369767,0.129922,24.787827,0.076958,0.49722,0.124056,39.022952,0.015628,0.010838,0.022952,0.01045,3.286969,0.119891,27.416373,2.807407
CMA-ES,0.067724,0.217933,0.152665,1.465481,0.069413,0.303017,0.130803,23.305142,0.075497,0.491588,0.124772,43.577888,0.015055,0.009109,0.023,0.017043,3.387572,0.110702,30.600845,2.944765
CMA-ES,0.065771,0.20492,0.149314,0.555079,0.062847,0.328423,0.135448,23.269418,0.070853,0.431092,0.1251,43.088007,0.015605,0.010055,0.007589,0.014962,3.260054,0.103228,31.581115,2.847143
CMA-ES,0.069913,0.27079,0.15183,2.30464,0.067131,0.409578,0.130611,22.723378,0.078782,0.486048,0.125809,42.327432,0.01595,0.01171,0.022401,0.010041,3.366943,0.115211,29.224146,2.906099
CMA-ES,0.071822,0.287819,0.151369,0.555551,0.065943,0.300658,0.128193,23.65114,0.073756,0.424328,0.126309,37.218546,0.016223,0.008993,0.018056,0.0172,3.102628,0.092422,33.570091,2.732938
CMA-ES,0.063447,0.200936,0.152749,0.533853,0.071958,0.304821,0.132779,22.193,0.080686,0.477533,0.125268,42.962966,0.015737,0.00919,0.017857,0.017071,3.240234,0.101457,31.937051,2.834407
CMA-ES,0.070276,0.276541,0.154804,1.445264,0.072477,0.313911,0.129719,24.607353,0.075877,0.46135,0.12446,43.489051,0.016366,0.009497,0.023551,0.015277,3.395572,0.112128,30.283061,2.947061
CMA-ES,0.06909,0.253744,0.153547,0.669048,0.070602,0.366341,0.131604,24.209007,0.081333,0.405115,0.124122,43.386365,0.015686,0.010882,0.022943,0.010667,3.338999,0.107355,31.102447,2.90958
CMA-ES,0.067065,0.218431,0.148996,2.71569,0.064283,0.300833,0.12313,21.711253,0.065468,0.46353,0.125243,38.918856,0.014968,0.008994,0.019207,0.018221,3.220667,0.10823,29.757696,2.787748
CMA-ES,0.067709,0.227996,0.152475,2.350938,0.071404,0.300613,0.132975,23.737268,0.078022,0.484902,0.124447,42.72755,0.015175,0.008955,0.023061,0.017403,3.387173,0.119986,28.229629,2.907227
CMA-ES,0.069372,0.224844,0.150299,2.093281,0.06644,0.301999,0.131358,22.335724,0.066638,0.509972,0.124749,43.32148,0.014211,0.009006,-0.005987,0.017808,3.293876,0.11778,27.966339,2.822756
CMA-ES,0.066995,0.210631,0.151376,0.395734,0.069175,0.311577,0.131422,23.593117,0.079501,0.472354,0.124106,37.71044,0.015787,0.009531,0.023234,0.014669,3.120251,0.093598,33.336793,2.74586
CMA-ES,0.069277,0.320475,0.153623,2.255162,0.071983,0.327148,0.131164,24.615715,0.080065,0.317855,0.124813,42.375636,0.016399,0.010418,0.023652,0.011795,3.374451,0.121141,27.855504,2.889886
CMA-ES,0.066773,0.222845,0.15555,2.092258,0.077507,0.381492,0.129601,23.836381,0.077029,0.457533,0.126419,40.259572,0.015769,0.010944,0.023419,0.007795,3.283997,0.112711,29.136485,2.833154
CMA-ES,0.070693,0.284187,0.153909,1.067491,0.07804,0.300533,0.131984,24.500634,0.079396,0.471647,0.124185,39.484255,0.016721,0.008913,0.021432,0.016507,3.276002,0.104007,31.497776,2.859972
CMA-ES,0.061647,0.43778,0.155816,2.05436,0.07262,0.374532,0.127311,24.107677,0.074788,0.514116,0.128031,43.505447,0.016833,0.010614,0.013245,0.013743,3.378809,0.122008,27.693377,2.890778
